@timestamp per 30 seconds,Top 8 unusual terms in loglevel.keyword,Count
02:26:30 PM,WARN,58
02:26:30 PM,ERR,6
02:27:00 PM,WARN,252
02:27:00 PM,ERR,31
02:27:30 PM,WARN,246
02:27:30 PM,ERR,27
02:28:00 PM,WARN,118
02:28:00 PM,ERR,13
02:28:30 PM,WARN,114
02:28:30 PM,ERR,33
02:29:00 PM,WARN,69
02:29:00 PM,ERR,19
02:29:30 PM,WARN,165
02:29:30 PM,ERR,17
02:30:00 PM,WARN,398
02:30:00 PM,ERR,8
02:30:30 PM,WARN,475
02:30:30 PM,ERR,74
02:31:00 PM,WARN,440
02:31:00 PM,ERR,59
02:31:30 PM,WARN,424
02:31:30 PM,ERR,45
02:32:00 PM,WARN,423
02:32:00 PM,ERR,60
02:32:30 PM,WARN,396
02:32:30 PM,ERR,57
02:33:00 PM,WARN,360
02:33:00 PM,ERR,50
02:33:30 PM,WARN,323
02:33:30 PM,ERR,42
02:34:00 PM,WARN,381
02:34:00 PM,ERR,84
02:34:30 PM,WARN,328
02:34:30 PM,ERR,51
02:35:00 PM,WARN,441
02:35:00 PM,ERR,66
02:35:30 PM,WARN,410
02:35:30 PM,ERR,37
02:36:00 PM,WARN,399
02:36:00 PM,ERR,42
02:36:30 PM,WARN,344
02:36:30 PM,ERR,37
02:37:00 PM,WARN,287
02:37:00 PM,ERR,49
02:37:30 PM,WARN,321
02:37:30 PM,ERR,31
02:38:00 PM,WARN,321
02:38:00 PM,ERR,58
02:38:30 PM,WARN,333
02:38:30 PM,ERR,24
02:39:00 PM,WARN,271
02:39:00 PM,ERR,42
02:39:30 PM,WARN,345
02:39:30 PM,ERR,21
02:40:00 PM,WARN,436
02:40:00 PM,ERR,73
02:40:30 PM,WARN,445
02:40:30 PM,ERR,38
02:41:00 PM,WARN,424
02:41:00 PM,ERR,31
02:41:30 PM,WARN,185
02:41:30 PM,ERR,24
