"Ekara_Site_Agent","Ekara_Robot","Robot_Severity",Count
"Paris (AWS)",PARAWS0008EAWS,WARN,185
"Paris (AWS)",PARAWS0008EAWS,ERR,4
"Paris (AWS)",PARAWS0016EAWS,WARN,130
"Paris (AWS)",PARAWS0004EAWS,WARN,68
"Paris (AWS)",PARAWS0006EAWS,WARN,7
"Paris (AWS)",PARAWS0005EAWP,WARN,46
"Paris (AWS)",PARAWS0011EAWP,WARN,40
"Paris (AWS)",PARAWS0011EAWP,ERR,4
"Paris (AWS)",PARAWS0010EAWP,WARN,39
"Paris (AWS)",PARAWS0009EAWS,WARN,40
"Paris (AWS)",PARAWS0009EAWS,ERR,4
"Paris (AWS)",PARAWS0012EAWP,WARN,32
"Paris (AWS)",PARAWS0004EAWP,WARN,33
"Paris (AWS)",PARAWS0013EAWP,WARN,30
"Paris (AWS)",PARAWS0013EAWP,ERR,3
"Paris (AWS)",PARAWS0017EAWP,WARN,27
"Paris (AWS)",PARAWS0018EAWP,WARN,27
"Paris (AWS)",PARAWS0008EAWP,WARN,29
"Paris (AWS)",PARAWS0007EAWP,WARN,18
"Paris (AWS)",PARAWS0007EAWP,ERR,4
"Paris (AWS)",PARAWS0014EAWP,WARN,18
"Paris (AWS)",PARAWS0014EAWP,ERR,4
"Paris (AWS)",PARAWS0028EAWP,ERR,5
"Paris (AWS)",PARAWS0028EAWP,WARN,15
"Paris (AWS)",PARAWS0027EAWP,ERR,9
"Paris (AWS)",PARAWS0027EAWP,WARN,12
"Paris (AWS)",PARAWS0019EAWP,ERR,7
"Paris (AWS)",PARAWS0019EAWP,WARN,13
"Paris (AWS)",PARAWS0016EAWP,ERR,4
"Paris (AWS)",PARAWS0016EAWP,WARN,12
"Paris (AWS)",PARAWS0015EAWP,WARN,12
"Paris (AWS)",PARAWS0032EAWP,ERR,5
"Paris (AWS)",PARAWS0032EAWP,WARN,9
"Paris (AWS)",PARAWS0022EHWP,ERR,11
"Paris (AWS)",PARAWS0021EHWP,ERR,5
"Paris (AWS)",PARAWS0021EHWP,WARN,15
"Paris (AWS)",PARAWS0003EAWP,WARN,9
"Paris (AWS)",PARAWS0031EAWP,ERR,3
"Paris (AWS)",PARAWS0031EAWP,WARN,6
"Paris (AWS)",PARAWS0029EAWP,ERR,3
"Paris (AWS)",PARAWS0029EAWP,WARN,5
"Paris (AWS)",PARAWS0009EAWP,ERR,6
"Paris (AWS)",PARAWS0002EAWP,WARN,6
"Paris (AWS)",PARAWS0030EAWP,WARN,6
"Paris (AWS)",PARAWS0001EAWP,ERR,4
"Paris (AWS)",PARAWS0024EHWP,ERR,4
"Brussels (Telenet)",BRUTEL0001EAWP,WARN,123
"Brussels (Telenet)",BRUTEL0001EAWP,ERR,4
"Brussels (Telenet)",BRUTEL0101EAWP,ERR,6
"Brussels (Telenet)",BRUTEL0101EAWP,WARN,17
"Brussels (Telenet)",BRUTEL0003EAWP,WARN,20
"Brussels (Telenet)",BRUTEL0002EAWP,ERR,6
"Brussels (Telenet)",BRUTEL0002EAWP,WARN,11
"Brussels (Telenet)",BRUTEL0103EAWP,WARN,13
"Brussels (Telenet)",BRUTEL0102EAWP,ERR,6
"Brussels (Telenet)",BRUTEL0104EAWP,WARN,5
"Barcelona (Telefonica)",BARTEL0032EAWP,WARN,60
